Subway Station,Longitude,Latitude
GuoMao Subway Station, 116.468148,39.914832
Sihui East Subway Station, 116.522091,39.914846
Tongzhou Subway Station,116.672144,39.903694
Jintai Road Subway Station,116.484865,39.929399
TuanJieHu Subway Station, 116.468363,39.93951
WangJing Subway Station,116.474634,40.004785
WangJing East Subway Station,116.493202,40.009192
Jiangtai Subway Station,116.496723,39.9768
Guozhan Subway Station,116.56176,40.075863
Lishuiqiao South Subway Station,116.420987,40.048115
Tiantongyuan Subway Station,116.419181,40.081453
Xierqi Subway Station,116.312409,40.059146
Life Science Park Subway Station,116.300677,40.100924
Shahe Subway Station,116.294784,40.154767
Changping Subway Station,116.239879,40.226362
Wukesong Subway Station,116.280681,39.91385
Gucheng Subway Station,116.197048,39.913476
Wuluju Subway Station,116.282962,39.938597
Tiancun Subway Station,116.259427,39.935637
Fengtai Subway Station,116.311618,39.855966
Liangxiang Subway Station,116.163847,39.748704
Changyang Subway Station,116.21929,39.769199
Liangxiang university city Subway Station,116.183071,39.729423
Suzhuang Subway Station,116.131903,39.729201
Fangshan Subway Station,115.996079,39.711719
Caoqiao Subway Station,116.358312,39.851701
Daxing Airport Subway Station,116.423278,39.51862
Yizhuang Bridge Subway Station,116.486949,39.808647
Yizhuang Railway Station Subway Station,116.608113,39.818235
